,Bioindicator,Coliform,Bioindicator UV+,total,rain,rooms
Bioindicator,1.0,0.09019954915705318,0.9862498710997597,0.16126150116346638,-0.03487049239306523,0.23483956910734513
Coliform,0.09019954915705318,1.0,0.462709006747775,0.6813324113567369,-0.12485924278012245,0.041700256044738176
Bioindicator UV+,0.9862498710997597,0.462709006747775,1.0,0.4222849338232073,-0.29647497655962796,0.3083785665164387
total,0.16126150116346638,0.6813324113567369,0.4222849338232073,1.0,-0.01369935065947712,0.2452300991499052
rain,-0.03487049239306523,-0.12485924278012245,-0.29647497655962796,-0.01369935065947712,1.0,0.2519154803537971
rooms,0.23483956910734513,0.041700256044738176,0.3083785665164387,0.2452300991499052,0.2519154803537971,1.0
