Date,Rain,year,rain_same_day,rain_48h,rain_48
2016-06-13,0,16,0,0,0
2016-06-14,0,16,0,0,0
2016-06-15,0,16,0,0,0
2016-06-16,0,16,0,0,0
2016-06-17,0,16,0,0,0
2016-06-18,0,16,0,0,0
2016-06-19,0,16,0,0,0
2016-06-20,0,16,0,0,0
2016-06-21,4,16,4,0,0
2016-06-22,4.6,16,0.6,4,0
2016-06-23,1.5,16,0.9,0.6,4
2016-06-24,14,16,13.1,0.9,0.6
2016-06-25,22.9,16,9.8,13.1,0.9
2016-06-26,11.1,16,1.3,9.8,13.1
2016-06-27,1.6,16,0.3,1.3,9.8
2016-06-28,0.9,16,0.6,0.3,1.3
2016-06-29,3.1,16,2.5,0.6,0.3
2016-06-30,12.9,16,10.4,2.5,0.6
2016-07-01,11.8,16,1.4,10.4,2.5
2016-07-02,11.2,16,9.8,1.4,10.4
2016-07-03,10,16,0.2,9.8,1.4
2016-07-04,0.3,16,0.1,0.2,9.8
2016-07-05,6.1,16,6,0.1,0.2
2016-07-06,6.3,16,0.3,6,0.1
2016-07-07,0.3,16,0,0.3,6
2016-07-08,2.5,16,2.5,0,0.3
2016-07-09,3.2,16,0.7,2.5,0
2016-07-10,2.4,16,1.7,0.7,2.5
2016-07-11,8.8,16,7.1,1.7,0.7
2016-07-12,20.5,16,13.4,7.1,1.7
2016-07-13,18.9,16,5.5,13.4,7.1
2016-07-14,12.4,16,6.9,5.5,13.4
2016-07-15,7,16,0.1,6.9,5.5
2016-07-16,0.1,16,0,0.1,6.9
2016-07-17,0,16,0,0,0.1
2016-07-18,2.7,16,2.7,0,0
2016-07-19,5.7,16,3,2.7,0
2016-07-20,7.2,16,4.2,3,2.7
2016-07-21,7.9,16,3.7,4.2,3
2016-07-22,8.4,16,4.7,3.7,4.2
2016-07-23,8.5,16,3.8,4.7,3.7
2016-07-24,7.8,16,4,3.8,4.7
2016-07-25,6.6,16,2.6,4,3.8
2016-07-26,4.3,16,1.7,2.6,4
2016-07-27,3.7,16,2,1.7,2.6
2016-07-28,2.7,16,0.7,2,1.7
2016-07-29,1.3,16,0.6,0.7,2
2016-07-30,3.5,16,2.9,0.6,0.7
2016-07-31,14.2,16,11.3,2.9,0.6
2016-08-01,12,16,0.7,11.3,2.9
2016-08-02,1.2,16,0.5,0.7,11.3
2016-08-03,0.6,16,0.1,0.5,0.7
2016-08-04,19.1,16,19,0.1,0.5
2016-08-05,33,16,14,19,0.1
2016-08-06,14,16,0,14,19
2016-08-07,0,16,0,0,14
2016-08-08,1.8,16,1.8,0,0
2016-08-09,11.6,16,9.8,1.8,0
2017-06-05,9.8,17,0,9.8,1.8
2017-06-06,0,17,0,0,9.8
2017-06-07,0,17,0,0,0
2017-06-08,0,17,0,0,0
2017-06-09,0,17,0,0,0
2017-06-10,0,17,0,0,0
2017-06-11,0,17,0,0,0
2017-06-12,5.3,17,5.3,0,0
2017-06-13,7.9,17,2.6,5.3,0
2017-06-14,9.1,17,6.5,2.6,5.3
2017-06-15,10.2,17,3.7,6.5,2.6
2017-06-16,5.2,17,1.5,3.7,6.5
2017-06-17,1.5,17,0,1.5,3.7
2017-06-18,0,17,0,0,1.5
2017-06-19,1.2,17,1.2,0,0
2017-06-20,3.1,17,1.9,1.2,0
2017-06-21,7.2,17,5.3,1.9,1.2
2017-06-22,8.3,17,3,5.3,1.9
2017-06-23,8.7,17,5.7,3,5.3
2017-06-24,15.5,17,9.8,5.7,3
2017-06-25,17.8,17,8,9.8,5.7
2017-06-26,12.5,17,4.5,8,9.8
2017-06-27,11.4,17,6.9,4.5,8
2017-06-28,26.2,17,19.3,6.9,4.5
2017-06-29,25.6,17,6.3,19.3,6.9
2017-06-30,8.5,17,2.2,6.3,19.3
2017-07-01,7.8,17,5.6,2.2,6.3
2017-07-02,7.9,17,2.3,5.6,2.2
2017-07-03,2.6,17,0.3,2.3,5.6
2017-07-04,0.5,17,0.2,0.3,2.3
2017-07-05,0.5,17,0.3,0.2,0.3
2017-07-06,0.5,17,0.2,0.3,0.2
2017-07-07,1.2,17,1,0.2,0.3
2017-07-08,7.3,17,6.3,1,0.2
2017-07-09,14.6,17,8.3,6.3,1
2017-07-10,15.7,17,7.4,8.3,6.3
2017-07-11,9.5,17,2.1,7.4,8.3
2017-07-12,5,17,2.9,2.1,7.4
2017-07-13,3.7,17,0.8,2.9,2.1
2017-07-14,3.6,17,2.8,0.8,2.9
2017-07-15,3.1,17,0.3,2.8,0.8
2017-07-16,0.3,17,0,0.3,2.8
2017-07-17,1.5,17,1.5,0,0.3
2017-07-18,12.1,17,10.6,1.5,0
2017-07-19,15.6,17,5,10.6,1.5
2017-07-20,11.4,17,6.4,5,10.6
2017-07-21,19.6,17,13.2,6.4,5
2017-07-22,17.4,17,4.2,13.2,6.4
2017-07-23,8.1,17,3.9,4.2,13.2
2017-07-24,14.9,17,11,3.9,4.2
2017-07-25,21.5,17,10.5,11,3.9
2017-07-26,13.9,17,3.4,10.5,11
2017-07-27,5.4,17,2,3.4,10.5
2017-07-28,2.8,17,0.8,2,3.4
2017-07-29,4.6,17,3.8,0.8,2
2017-07-30,5.5,17,1.7,3.8,0.8
2017-07-31,5.8,17,4.1,1.7,3.8
2020-06-10,16.1,20,12,4.1,1.7
2020-06-11,22.7,20,10.7,12,4.1
2020-06-12,11.5,20,0.8,10.7,12
2020-06-13,24.1,20,23.3,0.8,10.7
2020-06-14,36.1,20,12.8,23.3,0.8
2020-06-15,17.9,20,5.1,12.8,23.3
2020-06-16,12.4,20,7.3,5.1,12.8
2020-06-17,32.9,20,25.6,7.3,5.1
2020-06-18,32.3,20,6.7,25.6,7.3
2020-06-19,17.7,20,11,6.7,25.6
2020-06-20,11.5,20,0.5,11,6.7
2020-06-21,0.7,20,0.2,0.5,11
2020-06-22,1,20,0.8,0.2,0.5
2020-06-23,0.8,20,0,0.8,0.2
2020-06-24,4.2,20,4.2,0,0.8
2020-06-25,7.1,20,2.9,4.2,0
2020-06-26,11.1,20,8.2,2.9,4.2
2020-06-27,19.5,20,11.3,8.2,2.9
2020-06-28,19.7,20,8.4,11.3,8.2
2020-06-29,31.3,20,22.9,8.4,11.3
2020-06-30,22.9,20,0,22.9,8.4
2020-07-01,5.1,20,5.1,0,22.9
2020-07-02,13.6,20,8.5,5.1,0
2020-07-03,10.4,20,1.9,8.5,5.1
2020-07-04,2,20,0.1,1.9,8.5
2020-07-05,0.3,20,0.2,0.1,1.9
2020-07-06,2.1,20,1.9,0.2,0.1
2020-07-07,1.9,20,0,1.9,0.2
2020-07-08,0,20,0,0,1.9
2020-07-09,0,20,0,0,0
2020-07-10,25.4,20,25.4,0,0
2020-07-11,48.3,20,22.9,25.4,0
2020-07-12,22.9,20,0,22.9,25.4
2020-07-13,1.3,20,1.3,0,22.9
2020-07-14,4.3,20,3,1.3,0
2020-07-15,10.5,20,7.5,3,1.3
2020-07-16,9.4,20,1.9,7.5,3
2020-07-17,3.2,20,1.3,1.9,7.5
2020-07-18,1.3,20,0,1.3,1.9
2020-07-19,0,20,0,0,1.3
2020-07-20,0,20,0,0,0
2020-07-21,15.4,20,15.4,0,0
2020-07-22,21.4,20,6,15.4,0
2020-07-23,9.2,20,3.2,6,15.4
