Date,Rain,year,rain_same_day,rain_48h,rain_48
2020-07-24,36.7,20,33.5,3.2,6
2020-07-25,33.5,20,0,33.5,3.2
2020-07-26,1.3,20,1.3,0,33.5
2020-07-27,1.3,20,0,1.3,0
2020-07-28,2.6,20,2.6,0,1.3
2020-07-29,11.8,20,9.2,2.6,0
2020-07-30,10.8,20,1.6,9.2,2.6
2020-07-31,2.1,20,0.5,1.6,9.2
2020-08-01,1.9,20,1.4,0.5,1.6
2020-08-02,16.2,20,14.8,1.4,0.5
2020-08-03,29.1,20,14.3,14.8,1.4
2020-08-04,18.6,20,4.3,14.3,14.8
2020-08-05,4.3,20,0,4.3,14.3
2020-08-06,0,20,0,0,4.3
